13000000;371429;1-комн. квартира;ЮАО; р-н Даниловский; 1-й Кожуховский проезд 19к1;Автозаводская 5 мин. пешком;35;20;20;3 из 8;1958.0;None;3,1 м;1 совмещенный;None;на улицу и двор;дизайнерский
16800000;318786;2-комн. квартира;ЮАО; р-н Даниловский; 1-й Кожуховский проезд 19к2;Автозаводская 5 мин. пешком;52,7;32;8,3;None;None;None;None;None;None;None;None
21990000;403486;2-комн. квартира;ЦАО; р-н Тверской; 1-й Колобовский пер. 13/14С2;Трубная 5 мин. пешком;54,5;35,7;8,1;2 из 3;1875.0;21,7-14;None;1 раздельный;None;во двор;косметический
20500000;319315;3-комн. квартира;ЦАО; р-н Тверской; 1-й Колобовский пер. 13/14С2;Трубная 5 мин. пешком;64,2;36;9,5;1 из 3;1875.0;15+12+9;None;1 раздельный;None;на улицу и двор;косметический
13500000;364865;1-комн. квартира;ЦАО; р-н Красносельский; пер. 1-й Коптельский 26с1;Сухаревская 10 мин. пешком;37;18;18;11 из 12;1967.0;None;2,64 м;1 раздельный;1 балкон;None;дизайнерский
19100000;275216;3-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 12 мин. пешком;69,4;None;None;None;None;None;None;None;None;None;None
16700000;242029;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 15 мин. пешком;69;25;24;None;None;None;None;None;None;None;None
14000000;313199;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 3 мин. пешком;44,7;31;17;17 из 23;2021.0;None;2,97 м;1 совмещенный;1 лоджия;во двор;без ремонта
14100000;314031;1-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 5 мин. пешком;44,9;14;17,5;None;None;None;None;None;None;None;None
14100000;325635;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 5 мин. пешком;43,3;14;17,5;None;None;None;None;None;None;None;None
13500000;311778;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 16 мин. пешком;43,3;13,5;13.5;None;None;None;None;None;None;None;None
19900000;291362;3-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 5 мин. пешком;68,3;41;9,7;None;None;None;None;None;None;None;None
13150000;287746;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Каширская 7 мин. на транспорте;45,7;26,1;9,1;None;None;None;None;None;None;None;None
14500000;334873;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 7 мин. пешком;43,3;24,9;6;6 из 23;2021.0;None;2,96 м;1 совмещенный;1 лоджия;на улицу и двор;без ремонта
13550000;304494;1-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 5 мин. пешком;44,5;14;14;8 из 23;2021.0;None;2,7 м;1 совмещенный;1 лоджия;во двор;косметический
13800000;318707;2-комн. квартира;ЮАО; р-н Москворечье-Сабурово; пер. 1-й Котляковский 2Ак2;Варшавская 16 мин. пешком;43,3;31;10;8 из 23;2020.0;17,43+13,56;None;None;1 лоджия;во двор;без ремонта
20200000;331148;3-комн. квартира;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 6;Деловой центр 8 мин. пешком;61;9;2;2 из 5;1958.0;None;None;1 раздельный;None;во двор;дизайнерский
35000000;406977;2-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 21с2;Выставочная 1 мин. пешком;86;57;5;25 из 85;2016.0;None;None;1 совмещенный, 1 раздельный;None;на улицу и двор;дизайнерский
38799000;445966;3-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с2;Деловой центр 4 мин. пешком;87;None;None;57 из 78;2020.0;None;None;1 раздельный;None;на улицу;без ремонта
27000000;415385;2-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с2;Деловой центр 4 мин. пешком;65;None;None;22 из 78;2020.0;None;None;None;None;на улицу;без ремонта
40000000;416667;3-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с2;Деловой центр 5 мин. пешком;96;None;None;6 из 78;2020.0;None;None;1 совмещенный, 1 раздельный;None;на улицу;дизайнерский
27000000;450000;1-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с1;Тестовская 3 мин. пешком;60;None;None;None;None;None;None;None;None;None;None
26700000;430645;2-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с2;Деловой центр 4 мин. пешком;62;None;None;9 из 78;2020.0;None;None;1 совмещенный;None;None;косметический
39000000;448276;3-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с2;Деловой центр 4 мин. пешком;87;None;None;18 из 78;2020.0;None;None;None;None;None;без ремонта
27000000;435484;2-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с1;Деловой центр 3 мин. пешком;62;None;None;19 из 63;2017.0;None;None;None;None;на улицу;без ремонта
39000008;448276;3-комн. апартаменты;ЦАО; р-н Пресненский; 1-й Красногвардейский проезд 22с2;Тестовская 6 мин. пешком;87;None;None;None;None;None;None;None;None;None;None
17000000;239437;3-комн. квартира;ЮВАО; р-н Лефортово; 1-й Краснокурсантский проезд 1/5;Бауманская 20 мин. пешком;71;49;7;5 из 8;1958.0;18-21-10;3 м;1 раздельный;None;во двор;без ремонта
26000000;276596;3-комн. квартира;ЮВАО; р-н Лефортово; 1-й Краснокурсантский проезд 1/5;Москва-Товарная 4 мин. на транспорте;94;8;3;3 из 8;1958.0;None;None;1 совмещенный, 1 раздельный;1 балкон;во двор;евроремонт
16450000;261111;3-комн. квартира;ЮВАО; р-н Лефортово; 1-й Краснокурсантский проезд 3/5к11;Москва-Товарная 7 мин. на транспорте;63;44;7,5;3 из 5;1934.0;17-12-15;None;1 раздельный;None;на улицу и двор;косметический
13750000;234642;2-комн. квартира;ЮВАО; р-н Лефортово; 1-й Краснокурсантский проезд 5/7;Лефортово 10 мин. пешком;58,6;37;8,4;None;None;None;None;None;None;None;None
21000000;388889;2-комн. квартира;ЦАО; р-н Красносельский; 1-й Красносельский пер. 3;Красносельская 3 мин. пешком;54;32,6;10;None;None;None;None;None;None;None;None
18800000;324698;2-комн. квартира;ЦАО; р-н Красносельский; 1-й Красносельский пер. 5;Красносельская 7 мин. пешком;57,9;29,7;12,7;6 из 7;2005.0;None;3 м;1 раздельный;1 лоджия;на улицу и двор;косметический
9500000;313531;1-комн. квартира;САО; р-н Головинский; 1-й Лихачевский пер. 4к2а;Коптево 8 мин. пешком;30,3;18,6;5,4;None;None;None;None;None;None;None;None
26800000;209375;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагатинская 15 мин. пешком;128;70;23;23 из 33;2011.0;None;2,7 м;2 раздельных;None;на улицу;без ремонта
43000000;302817;4-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагатинская 15 мин. пешком;142;96,7;13;11 из 20;2011.0;43.1-18.1-17.2-18.3;2,7 м;1 совмещенный, 1 раздельный;None;на улицу и двор;евроремонт
25200000;315000;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 16 мин. пешком;80;None;None;8 из 33;2012.0;None;2,7 м;1 раздельный;None;во двор;дизайнерский
52000000;409449;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагатинская 13 мин. пешком;127;78,7;16;13 из 33;2012.0;32,1-24,5-22,1;None;2 совмещенных;None;на улицу и двор;дизайнерский
18500000;342593;1-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагорная 5 мин. на транспорте;54;None;None;17 из 33;2015.0;None;None;1 совмещенный;1 лоджия;None;дизайнерский
40000000;274725;4-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 16 мин. пешком;145,6;71;15,4;9 из 23;2012.0;16,3+18+16,2+20,5;None;2 раздельных;None;None;евроремонт
24750000;255155;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагорная 5 мин. на транспорте;97;40,3;19,4;5 из 33;2012.0;16,2-14,8-9,3;None;1 совмещенный, 1 раздельный;None;на улицу;евроремонт
25200000;315000;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 10 мин. пешком;80;62;12;8 из 33;2012.0;None;3,2 м;1 раздельный;None;на улицу;дизайнерский
43000000;302817;4-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагорная 5 мин. на транспорте;142;12,9;11;11 из 33;2012.0;43+17+18+18;None;2 совмещенных;None;на улицу и двор;дизайнерский
24300000;292419;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к3;Нагорная 5 мин. на транспорте;83,1;42;18;16 из 33;2012.0;20-22;None;1 совмещенный;1 балкон;None;дизайнерский
27000000;210938;4-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагорная 5 мин. на транспорте;128;83;30;23 из 33;2012.0;None;3,1 м;1 совмещенный, 1 раздельный;None;на улицу и двор;без ремонта
25500000;365854;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 12 мин. пешком;69,7;53;12;None;None;None;None;None;None;None;None
41500000;286207;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 12 мин. пешком;145;89;19;None;None;None;None;None;None;None;None
